推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
114,3~5歲,,威洛比先生的耶誕樹,羅勃．巴利（Robert Barry）,羅勃．巴利（Robert Barry）,林良,親子天下,2024-12-01,113/12,翻譯,社會情緒、語言溝通、美感,9786264060875,380
114,0~3歲,,愛睡覺的小baby,劉旭恭,劉旭恭,,水滴文化(城邦出版),2024-11-01,113/11,本土,認知探索、美感,9786267352472,380
114,0~3歲,,過去一點,卡崔娜夏門（Katrina Charman）,吉列米卡斯汀（Guilherme Karsten,何湘葳,格林文化,2024-11-01,113/11,翻譯,身體動作、社會情緒、認知探索,9786267295588,380
114,3~5歲,,小漁顛倒游,科瑞．R. 塔博(Corey R. Tabor),科瑞．R. 塔博(Corey R. Tabor),柯倩華,弘雅三民(小山丘),2024-11-01,113/11,翻譯,社會情緒、語言溝通、認知探索,9786263708754,370
114,3~5歲,,聖誕老人的第一個聖誕節,麥克‧巴奈特(Mac Barnett),席尼‧史密斯(Sydney Smith),劉清彥,維京國際,2024-11-01,113/11,翻譯,身體動作、社會情緒、語言溝通,9789864405640,350
114,0~3歲,,烏的,儲玉玲,儲嘉慧,呂美親(台文審訂),聯經出版,2024-10-01,113/10,本土,社會情緒、認知探索,9789570874952,320
114,0~3歲,,哪裡不舒服呢？,妮娜特(Ninette),妮娜特(Ninette),李紫蓉,遠見天下文化(小天下),2024-09-01,113/09,翻譯,社會情緒、認知探索、健康與安全,9786263558823,360
114,0~3歲,,我會曉,海狗房東,黃海蒂,陳厚潤、陳厚澤(台語朗讀)；呂美親(台文審訂),聯經出版,2024-09-01,113/09,本土,語言溝通、認知探索、美感,9789570874846,350
114,3~5歲,,眼淚博物館,黃顯雅,黃顯雅,,弘雅三民(小山丘),2024-09-01,113/09,本土,社會情緒、認知探索、美感,9786263707689,350
114,3~5歲,,不一樣的1(新版),吳亞男,柳壟沙,英文翻譯：白一葦,信誼基金,2024-09-01,113/09,翻譯,語言溝通,9789861617497,350
114,3~5歲,,爸爸！別把話說光了,費里希妲．薩拉(Felicita Sala),費里希妲．薩拉(Felicita Sala),陳信宏,親子天下,2024-08-01,113/08,翻譯,社會情緒、語言溝通、認知探索,9786263059917,380
114,3~5歲,,小狼人好餓,安迪‧哈克尼斯(Andy Harkness),安迪‧哈克尼斯(Andy Harkness),黃筱茵,時報文化,2024-08-01,113/08,翻譯,社會情緒、語言溝通、美感,9786263965300,350
114,3~5歲,,上學快來不及了！,小木屋工坊(The Cabin Company),小木屋工坊(The Cabin Company),米雅,遠見天下文化(小天下),2024-08-01,113/08,翻譯,身體動作、社會情緒、認知探索,9786263558427,380
114,3~5歲,,夏天就是該這樣,貓小小,許臺育,,愛米粒,2024-07-01,113/07,本土,身體動作、社會情緒、認知探索,9786269832583,350
114,3~5歲,,請幫我撿球,車雅達,車雅達,葉雨純,維京國際,2024-06-01,113/06,翻譯,身體動作、社會情緒、生活自理,9789864405442,380
114,3~5歲,,沒毛雞,陳致元,陳致元,,親子天下,2024-06-01,113/06,本土,社會情緒、語言溝通,9786263058811,400
114,0~3歲,,123，噗嚕嚕！,得田之久,及川賢治,郭孚,信誼基金,2024-05-01,113/05,翻譯,身體動作、語言溝通、認知探索,9789861617374,280
114,3~5歲,,粒粒皆好吃,高凌華,八分熟的小李子,,翰林出版,2024-05-01,113/05,本土,身體動作、認知探索、生活自理,9786263652767,340
114,3~5歲,,我和我的小傷疤,碧翠絲‧阿雷馬娜(Beatrice Alemagna),碧翠絲‧阿雷馬娜(Beatrice Alemagna),尉遲秀,聯經出版,2024-05-01,113/05,翻譯,社會情緒、認知探索、健康與安全,9789570873788,380
114,0~3歲,,無公平！,陶樂蒂,陶樂蒂,,小麥田出版(城邦出版),2024-04-01,113/04,本土,社會情緒、語言溝通、認知探索,9786267281697,340
114,3~5歲,,小威的眼睛,杜宛霖,杜宛霖,,信誼基金,2024-04-01,113/04,本土,社會情緒,9789861617398,320
114,3~5歲,,大猩猩：相反是什麼？,安東尼布朗（Anthony Browne）,安東尼布朗（Anthony Browne）,何儀,格林文化,2024-04-01,113/04,翻譯,認知探索,9786267295335,350
114,3~5歲,,爺爺與翠鳥,安娜．威爾遜(Anna Wilson),莎拉．瑪西尼(Sarah Massini),游珮芸,米奇巴克,2024-04-01,113/04,翻譯,社會情緒、認知探索、美感,9786269812103,360
114,3~5歲,,情緒大飯店,莉迪亞．布蘭科維琪（Lidia Branković）,莉迪亞．布蘭科維琪（Lidia Branković）,黃聿君,典藏藝術家庭(小典藏),2024-04-01,113/04,翻譯,社會情緒、語言溝通、生活自理,9786267430033,350
114,0~3歲,,10隻橡皮小鴨,艾瑞．卡爾(Eric Carle),艾瑞．卡爾(Eric Carle),柯倩華,上誼文化,2024-03-01,113/03,翻譯,社會情緒、語言溝通、認知探索,9789577627766,300
114,3~5歲,,壽司買衣服,田中達也,田中達也,李宜蓁,上誼文化,2024-03-01,113/03,翻譯,認知探索、美感,9789577627728,320
114,0~3歲,,春天來了,五味太郎,五味太郎,吳宜真,上誼文化,2024-02-01,113/02,翻譯,語言溝通,9789577627773,280
